11.871,0.66
13.761,1.07
13.946,9.6
15.861,0.153
16.109,0.184
16.816,2.5
17.061,1.5
17.505,0.65
17.751,5.7
17.992,1.37
20.784,1.39
21.099,0.65
21.342,0.59
21.491,0.29
26.3448,2.4
32.183,0.0174
33.1964,0.126
42.73,0.0055
43.423,0.073
55.56,0.0181
57.85,0.0052
59.5412,35.9
64.83,0.000145
67.45,0.00042
69.76,0.0029
75.8,0.0006
97.069,0.008
98.97,0.0203
101.059,0.012
102.98,0.0195
113.303,0.0015
114.234,0.0028
114.912,0.00011
117.463,0.0011
117.875,0.0004
123.01,0.001
125.3,0.00408
146.55,0.000461
169.56,0.000173
208,0.000791
322.52,0.000152
332.36,0.000149
335.38,0.000496
368.59,0.000217
376.65,0.000138
662.4,0.000364
722.01,0.000196
